file,species
test\0021e90e4.png,Small-flowered Cranesbill
test\003d61042.png,Fat Hen
test\007b3da8b.png,Sugar beet
test\0086a6340.png,Common Chickweed
test\00c47e980.png,Sugar beet
test\00d090cde.png,Scentless Mayweed
test\00ef713a8.png,Common Chickweed
test\01291174f.png,Fat Hen
test\026716f9b.png,Loose Silky-bent
test\02cfeb38d.png,Loose Silky-bent
test\03566743d.png,Common Chickweed
test\03a2ee656.png,Small-flowered Cranesbill
test\03e322a29.png,Small-flowered Cranesbill
test\03ef36742.png,Scentless Mayweed
test\043449b0b.png,Sugar beet
test\0437393b1.png,Fat Hen
test\04814f36d.png,Scentless Mayweed
test\05341a8a6.png,Scentless Mayweed
test\060450d79.png,Common Chickweed
test\060f1dc84.png,Charlock
test\0625f063b.png,Common Chickweed
test\063363305.png,Small-flowered Cranesbill
test\06d12f6fa.png,Shepherds Purse
test\071cb3ece.png,Sugar beet
test\0751c0bbc.png,Sugar beet
test\07e62f903.png,Maize
test\085974290.png,Common Chickweed
test\0885e7690.png,Shepherds Purse
test\089ad62a7.png,Common Chickweed
test\08d591441.png,Sugar beet
test\0911d3dee.png,Common Chickweed
test\099b961ec.png,Shepherds Purse
test\0a64e3e6c.png,Loose Silky-bent
test\0ad9e7dfb.png,Maize
test\0ae6668fa.png,Loose Silky-bent
test\0bf7bfb05.png,Black-grass
test\0c27cf05f.png,Maize
test\0c4199daa.png,Black-grass
test\0c45ace27.png,Common Chickweed
test\0c51bf229.png,Maize
test\0c5f6c493.png,Loose Silky-bent
test\0caeda5df.png,Common wheat
test\0d117d910.png,Common Chickweed
test\0d31e6602.png,Small-flowered Cranesbill
test\0dba99002.png,Sugar beet
test\0e8492cb1.png,Maize
test\0ebf8f2f4.png,Maize
test\0ee4ad224.png,Shepherds Purse
test\0f6cbe5e8.png,Maize
test\0fb233ad6.png,Small-flowered Cranesbill
test\115f93ecc.png,Loose Silky-bent
test\116b136de.png,Sugar beet
test\1191ba346.png,Cleavers
test\11d3f68ff.png,Loose Silky-bent
test\122913909.png,Maize
test\12625488b.png,Fat Hen
test\126a71ce0.png,Charlock
test\1312065a5.png,Small-flowered Cranesbill
test\1364b297a.png,Cleavers
test\1376f3b63.png,Black-grass
test\13b9fa92d.png,Sugar beet
test\1459e96a0.png,Cleavers
test\148bbda66.png,Charlock
test\14bb43eee.png,Common wheat
test\1541bdb2e.png,Maize
test\1623fb9e1.png,Sugar beet
test\16357b436.png,Loose Silky-bent
test\16467a950.png,Black-grass
test\165681fd9.png,Small-flowered Cranesbill
test\1694a70e4.png,Scentless Mayweed
test\16fd2e01a.png,Small-flowered Cranesbill
test\172f9b10b.png,Common Chickweed
test\17529c555.png,Scentless Mayweed
test\1758a1baf.png,Common Chickweed
test\177d7e2a4.png,Common Chickweed
test\17a78fb44.png,Common wheat
test\17d5e5ac4.png,Loose Silky-bent
test\1821eb11a.png,Shepherds Purse
test\187668bde.png,Scentless Mayweed
test\1926e82fd.png,Loose Silky-bent
test\19618ad6a.png,Sugar beet
